Type of slope movement,Season,min_volume,median_volume,max_volume,Relative size,Rock unit,Rockfall,slope_angle_degrees,trigger
RF,Winter,5000,20000,50000,large,Ks,Yes,80.1,Spontaneous
DS,Winter,50,200,500,medium,Qat,No,57.9,Spontaneous
RS,Winter,5,20,50,small,Kga,No,82.3,Spontaneous
RS,Summer,50,200,500,medium,Kdg,No,56.6,Spontaneous
RS,Summer,5,242,50,medium,Kga,No,58.1,Spontaneous
RS,Fall,5,20,50,small,Khd,No,75.1,Precipitation
RS,Winter,50,200,500,medium,Ks,No,74.9,Spontaneous
RS/DS,Winter,5,20,50,small,Kec,No,77.0,Spontaneous
RS,Winter,50,200,500,medium,Kec,No,73.0,Spontaneous
RS,Summer,5,20,50,small,Khd,No,74.0,Spontaneous
DS,Winter,5,20,50,small,Qat,No,80.3,Precipitation
RS/DS,Winter,5,9182,50,large,Kec,No,62.8,Precipitation
RS,Winter,5,25,50,small,Ka,No,53.8,Precipitation
RF,Winter,0,2,5,small,Kga,Yes,85.8,Precipitation
RS,Winter,5,51,50,medium,Kga,No,68.8,Spontaneous
DSL,Winter,50,200,500,medium,Qat,No,73.4,Spontaneous
RF,Spring,50,200,500,medium,Khd,Yes,84.7,Spontaneous
RF,Spring,5,20,50,small,Khd,Yes,75.0,Spontaneous
RS,Spring,5,1,50,small,Kdg,No,69.7,Spontaneous
RF,Spring,500,2000,5000,large,Ks,Yes,77.7,Freeze-Thaw
RF,Spring,5,20,50,small,Ks,Yes,78.0,Freeze-Thaw
RS,Spring,5,20,50,small,Kgp,No,75.7,Freeze-Thaw
RS,Fall,0,2,5,small,Qat,No,47.1,Spontaneous
RS,Winter,5,118,50,medium,Kec,No,54.6,Spontaneous
RS,Winter,5,600,50,large,Kga,No,60.5,Precipitation
RS,Spring,500,2000,5000,large,Kga,No,76.3,Precipitation
RS,Fall,50,200,500,medium,Kdg,No,78.9,Precipitation
RS,Spring,50,200,500,medium,Kec,No,80.7,Spontaneous
RS,Summer,5000,20000,50000,large,Krm,No,68.6,Spontaneous
DS,Spring,500,2000,5000,large,Qat,No,70.3,Spontaneous
DS,Spring,50,200,500,medium,Qat,No,65.8,Spontaneous
DF,Winter,500,2000,5000,large,Qat,No,76.1,Precipitation
RS,Winter,5,140,50,medium,Khd,No,72.1,Spontaneous
DF,Fall,5,765,50,large,Qat,No,72.9,Precipitation
DF,Fall,500,2000,5000,large,Qat,No,62.7,Precipitation
DSL,Spring,50,200,500,medium,Qat,No,67.1,Spontaneous
RS,Summer,50,200,500,medium,Kgp,No,71.9,Spontaneous
RS,Winter,500,2000,5000,large,Ks,No,72.0,Spontaneous
RS,Winter,5,20,50,small,Ks,No,74.5,Spontaneous
ESL,Winter,50,200,500,medium,Qat,No,56.5,Precipitation
RS,Winter,5,42,50,small,Kec,No,66.7,Spontaneous
DSL,Winter,50,200,500,medium,Qat,No,65.1,Precipitation
RS,Spring,5,864,50,large,Kec,No,78.1,Spontaneous
RS,Winter,5000,20000,50000,large,Kec,No,71.2,Spontaneous
