Type of slope movement,Season,min_volume,median_volume,max_volume,Relative size,Rock unit,Rockfall,slope_angle_degrees,trigger
RF,Fall,0,2,5,small,Khd,Yes,78.6,Spontaneous
RF,Fall,5,30,50,small,Kgp,Yes,66.4,Precipitation
RF,Fall,0,0,0,small,Ka,Yes,85.6,Precipitation
RF,Fall,1,2,5,small,Qat,Yes,73.5,Precipitation
RF,Fall,0,0,0,small,Kec,Yes,72.7,Spontaneous
RF,Winter,5,50,50,medium,Kec,Yes,59.8,Spontaneous
RF,Spring,5,37,50,small,Kec,Yes,78.0,Spontaneous
RF,Winter,5,20,50,small,Kec,Yes,70.9,Freeze-Thaw
RF,Winter,500,2000,5000,small,Khd,Yes,62.6,Spontaneous
RS,Winter,0,1,0,small,Kga,No,68.2,Precipitation
RF,Winter,2,4,5,small,Kgp,Yes,64.0,Precipitation
RF,Winter,6,7,8,small,Kec,Yes,67.5,Spontaneous
RF,Winter,5,2,50,small,Kec,Yes,59.3,Spontaneous
RF,Winter,5,9,50,small,Kec,Yes,77.8,Spontaneous
RF,Winter,5,100,50,medium,Kec,Yes,67.8,Precipitation
RF,Spring,5,288,50,medium,Khd,Yes,83.2,Spontaneous
RF,Spring,5,10,10,small,Kgp,Yes,72.1,Precipitation
RF,Spring,5,24,50,small,Kbv,Yes,79.0,Precipitation
RF,Spring,5,3,50,small,Kec,Yes,75.4,Spontaneous
RF,Spring,5,10,10,small,Ks,Yes,62.2,Spontaneous
RS,Spring,50,200,500,medium,Khd,No,78.7,Spontaneous
RF,Spring,20,25,30,small,Klt,Yes,56.9,Spontaneous
RF,Spring,5,18,50,small,Kgp,Yes,85.9,Spontaneous
RF,Spring,0,0,0,small,Ks,Yes,55.4,Spontaneous
RF,Spring,0,2,5,small,Kga,Yes,66.2,Spontaneous
RF,Summer,5,0,50,small,Kgp,Yes,72.9,Spontaneous
RS,Summer,0,0,0,small,Kec,No,77.1,Spontaneous
RS,Summer,0,0,0,small,Ka,No,50.1,Spontaneous
RF,Summer,0,0,0,small,Khd,Yes,63.0,Spontaneous
RS,Summer,5,10,50,small,Krd,No,71.2,Spontaneous
RF,Summer,2,4,5,small,Khd,Yes,80.2,Spontaneous
RF,Summer,5,8,50,small,Kgp,Yes,60.8,Spontaneous
RF,Summer,5,5,50,small,Kgp,Yes,56.1,Precipitation
RF,Fall,5,20,50,small,Khd,Yes,70.8,Precipitation
RF/DS,Fall,5,10,50,small,Kec,No,55.5,Precipitation
RF,Fall,5,6,50,small,Ks,Yes,74.3,Precipitation
RF,Fall,5,10,50,small,Ks,Yes,60.7,Precipitation
RF,Fall,5,8,50,small,Ks,Yes,60.6,Precipitation
RF,Winter,5,10,50,small,Ks,Yes,71.1,Spontaneous
RF,Winter,5,20,50,small,Ks,Yes,77.3,Spontaneous
RF,Winter,5,10,50,small,Ks,Yes,62.6,Freeze-Thaw
RF,Winter,5,3,50,small,Kga,Yes,71.9,Precipitation
RF,Winter,5,18,50,small,Ka,Yes,65.6,Precipitation
RF,Winter,5,10,50,small,Ks,Yes,76.1,Precipitation
RS,Winter,2,3,3,small,Kec,No,70.0,Precipitation
RF,Winter,20,35,50,small,Kgp,Yes,69.3,Precipitation
SA,Winter,5,20,50,small,Ks,No,73.3,Spontaneous
RF,Winter,5,42,50,small,Kgp,Yes,80.5,Precipitation
RF,Winter,5,100,50,medium,Klt,Yes,60.3,Spontaneous
RF,Spring,5,20,50,small,Kgp,Yes,74.7,Precipitation
RF,Spring,5,20,50,small,Ks,Yes,86.4,Precipitation
RF,Spring,5,5,50,small,Khd,Yes,74.9,Precipitation
RF,Spring,5,10,50,small,Qat,Yes,69.2,Spontaneous
RF,Spring,5,35,50,small,Kgp,Yes,72.8,Freeze-Thaw
RF,Spring,5,18,50,small,Kgp,Yes,79.2,Precipitation
RF,Spring,5,0,50,small,Khd,Yes,73.2,Spontaneous
RF,Summer,5,35,50,small,Kec,Yes,75.7,Precipitation
RS,Summer,0,2,5,small,Kec,No,69.7,Spontaneous
RF,Summer,0,2,5,small,Kt,Yes,50.7,Spontaneous
RF,Summer,8,9,10,small,Kec,Yes,69.8,Spontaneous
RF,Fall,5,1133,50,large,Kgp,Yes,75.0,Spontaneous
RF,Fall,5,4530,50,large,Kgp,Yes,65.0,Spontaneous
RF,Fall,8,10,12,small,Kec,Yes,74.0,Precipitation
RF,Fall,5,20,50,small,Khd,Yes,72.3,Precipitation
RF,Fall,5,10,50,small,Kbv,Yes,49.0,Precipitation
RF,Fall,5,10,50,small,Ks,Yes,67.6,Precipitation
RF,Fall,5,80,50,medium,Kec,Yes,70.8,Precipitation
RS,Fall,5,10,50,small,Khd,No,72.6,Spontaneous
RF,Winter,5,115,50,medium,Khd,Yes,74.0,Precipitation
RF,Winter,2,3,3,small,Kec,Yes,76.8,Precipitation
RF,Winter,50,200,500,medium,Kec,Yes,84.0,Precipitation
RF,Winter,0,2,5,small,Kgp,Yes,62.3,Precipitation
RF,Winter,5,290,50,medium,Ks,Yes,70.4,Precipitation
RF,Winter,0,2,5,small,Kec,Yes,68.2,Spontaneous
RF,Winter,5,40,50,small,Kt,Yes,77.9,Precipitation
RF,Winter,5,8,50,small,Kec,Yes,75.1,Precipitation
RF,Winter,5,20,50,small,Kec,Yes,78.8,Precipitation
RF,Spring,5,20,50,medium,Khd,Yes,71.3,Precipitation
RF,Spring,5,46700,50,large,Khd,Yes,65.0,Precipitation
RF,Spring,5,20,50,small,Khd,Yes,71.7,Precipitation
RF,Spring,5,20,50,small,Khd,Yes,74.8,Precipitation
RF,Spring,5,400,50,medium,Khd,Yes,73.8,Precipitation
RF,Spring,5,20,50,small,Khd,Yes,66.9,Precipitation
RF,Spring,5,25,50,small,Khd,Yes,65.0,Spontaneous
RF,Spring,5,6,50,small,Kgp,Yes,69.7,Precipitation
RF,Spring,6,8,10,small,Khd,Yes,78.2,Spontaneous
RF,Spring,5,20,50,small,Ks,Yes,79.5,Precipitation
RF,Spring,5,12,50,small,Kec,Yes,84.9,Spontaneous
RF,Spring,5,20,50,small,Kec,Yes,65.2,Precipitation
RF,Spring,5,120,50,medium,Kec,Yes,68.8,Precipitation
RF,Spring,5,20,50,small,Kgp,Yes,50.5,Spontaneous
RF,Spring,0,0,0,small,Kec,Yes,57.2,Precipitation
RF,Summer,5,7,8,small,Kgp,Yes,72.5,Spontaneous
RF,Summer,5,20,50,small,Kec,Yes,72.3,Spontaneous
RF,Summer,5,3,50,small,Khd,Yes,58.7,Spontaneous
RF,Summer,5,5,50,small,Kec,Yes,70.0,Spontaneous
RF,Summer,5,80,50,medium,Khd,Yes,66.9,Precipitation
RF,Summer,5,2,50,small,Kec,Yes,64.5,Precipitation
RF,Summer,5,5,50,small,Khd,Yes,56.8,Spontaneous
RS,Summer,5,100,50,medium,Kec,No,84.6,Spontaneous
RF,Summer,5,20,50,small,Khd,Yes,66.1,Precipitation
RF,Summer,5,6,50,small,Ks,Yes,77.1,Spontaneous
RF,Summer,5,19,50,small,Ks,Yes,72.3,Precipitation
RF,Summer,5,16,50,small,Ks,Yes,59.5,Precipitation
RF,Summer,5,78,50,medium,Ks,Yes,71.2,Precipitation
RF,Summer,5,558,50,large,Ks,Yes,65.7,Precipitation
RF,Summer,5,60,50,medium,Ks,Yes,61.0,Precipitation
RF,Summer,5,108,50,medium,Ks,Yes,60.5,Precipitation
RF,Fall,5,55,50,medium,Kgp,Yes,71.6,Spontaneous
RF,Fall,5,15,50,small,Khd,Yes,60.1,Precipitation
RF,Fall,5,50,50,medium,Kec,Yes,66.2,Precipitation
RF,Fall,5,6,50,small,Kga,Yes,76.0,Precipitation
RF,Fall,5,0,50,small,Khd,Yes,80.4,Precipitation
RF,Fall,5,15,50,small,Ks,Yes,72.1,Precipitation
DF,Fall,5,25,50,small,Qat,No,74.4,Precipitation
RF,Fall,0,2,5,small,Kga,Yes,81.8,Precipitation
RF,Fall,5,10,50,small,Kec,Yes,58.6,Spontaneous
RF,Fall,5,3,50,small,Kec,Yes,70.4,Precipitation
RF,Fall,5,20,50,small,Khd,Yes,69.1,Freeze-Thaw
RF,Fall,5000,20000,50000,large,Khd,Yes,67.8,Spontaneous
RF,Fall,5,80,50,medium,Krm,Yes,68.7,Spontaneous
RF,Winter,5,4,50,small,Ks,Yes,78.2,Freeze-Thaw
RF,Winter,0,2,5,small,Ks,Yes,78.8,Freeze-Thaw
RS,Winter,0,2,5,small,Pzme,No,82.4,Precipitation
RF,Winter,5,7,10,small,Ks,Yes,72.3,Precipitation
RF,Winter,0,2,5,small,Ks,Yes,69.6,Spontaneous
RF,Spring,0,0,1,small,Ks,Yes,82.1,Precipitation
RF,Spring,0,0,0,small,Ks,Yes,62.3,Precipitation
RF,Spring,0,2,5,small,Kec,Yes,74.2,Spontaneous
RF,Spring,5,35,50,small,Kgp,Yes,73.5,Precipitation
RF,Spring,5,10,50,small,Khd,Yes,75.1,Precipitation
RF,Spring,5,20,50,small,Kec,Yes,59.0,Precipitation
RF,Spring,5,5,50,small,Kec,Yes,71.4,Spontaneous
RF,Spring,0,2,5,small,Kgp,Yes,52.6,Precipitation
RF,Spring,5,15,50,small,Ks,Yes,75.9,Precipitation
RF,Summer,5,20,50,small,Kec,Yes,54.8,Precipitation
RF,Summer,5,3,50,small,Kg,Yes,67.7,Precipitation
RF,Summer,5,30,50,small,Kcp,Yes,73.7,Precipitation
RF,Summer,3,4,5,small,Khd,Yes,85.0,Spontaneous
RF,Summer,5,10,50,small,Kcp,Yes,64.7,Precipitation
RF,Summer,5,150,50,medium,Khd,Yes,64.0,Precipitation
RF,Summer,3,4,5,small,Kec,Yes,83.6,Spontaneous
RF,Summer,5,3,50,small,Kgp,Yes,73.8,Precipitation
RF,Summer,5,30,50,small,Ks,Yes,64.1,Precipitation
RF,Summer,10,15,20,small,Ks,Yes,75.0,Spontaneous
RF,Summer,5,7,10,small,Ks,Yes,83.3,Spontaneous
RF,Summer,5,20,50,small,Kgp,Yes,77.0,Spontaneous
RF,Summer,0,1,2,small,Kid,Yes,75.8,Spontaneous
RF,Summer,0,2,5,small,Kec,Yes,66.6,Spontaneous
RF,Fall,5,43,50,small,Ks,Yes,82.2,Precipitation
RF,Fall,5,14,50,small,Ks,Yes,82.3,Precipitation
RF,Fall,5,20,50,small,Kec,Yes,66.9,Precipitation
DF,Fall,5,10,50,small,Qat,No,71.7,Precipitation
RS,Fall,0,2,5,small,Kga,No,77.6,Precipitation
DF,Fall,5,250,50,medium,Qat,No,72.0,Precipitation
RF,Fall,5,2,50,small,Ks,Yes,50.4,Precipitation
RF,Fall,10,15,20,small,Ks,Yes,68.1,Precipitation
RF,Fall,5,0,50,small,Ks,Yes,75.1,Precipitation
RF,Fall,5,1,50,small,Ks,Yes,67.7,Precipitation
RF,Fall,5,65,50,medium,Kec,Yes,73.4,Spontaneous
RF,Fall,5,990,50,large,Kec,Yes,86.4,Spontaneous
RF,Fall,5,20,50,small,Kec,Yes,79.3,Spontaneous
RF,Fall,5,25,50,small,Kec,Yes,56.2,Spontaneous
RF,Fall,5,80,50,small,Kec,Yes,68.2,Spontaneous
RF,Fall,5,1,50,small,Kec,Yes,53.2,Spontaneous
RF,Fall,5,33,50,small,Ks,Yes,66.6,Precipitation
RF,Fall,2,2,3,small,Kec,Yes,75.4,Precipitation
RF,Fall,5,40,50,small,Ks,Yes,83.3,Precipitation
RF,Fall,5,10,50,small,Ks,Yes,54.5,Spontaneous
RF,Fall,5,28,50,small,Ks,Yes,79.9,Precipitation
RF,Fall,5,5,50,small,Kec,Yes,79.8,Precipitation
RF,Fall,5,2,50,small,Ks,Yes,62.9,Precipitation
RF,Fall,5,1,50,small,Ka,Yes,52.7,Precipitation
RF,Fall,5,38,50,small,Ka,Yes,48.1,Precipitation
RF,Fall,0,2,5,small,Kgp,Yes,76.8,Precipitation
RS,Fall,5,25,50,small,Kga,No,48.3,Freeze-Thaw
RS,Winter,5,85,50,medium,Kga,No,85.0,Precipitation
RS,Winter,5,12,50,small,Kga,No,73.0,Precipitation
RF,Winter,5,1,50,small,Kec,Yes,78.6,Spontaneous
RF,Winter,500,950,1500,large,Kt,Yes,78.9,Precipitation
RF,Winter,5,240,50,medium,Kec,Yes,60.2,Spontaneous
RF,Winter,5,20,50,small,Kec,Yes,74.5,Precipitation
RS,Winter,5,2,50,small,Pzme,No,66.0,Precipitation
RS,Winter,5,0,50,small,Pzme,No,57.8,Precipitation
RF,Winter,5,1,50,small,Kgp,Yes,67.1,Spontaneous
RF,Winter,0,2,5,small,Khd,Yes,77.7,Spontaneous
RS/ES,Spring,5,20,50,small,Kga,No,78.1,Precipitation
SA,Spring,5,20,50,small,Khd,No,57.2,Spontaneous
RF,Spring,5,4,50,small,Kga,Yes,71.8,Precipitation
DS,Spring,5,1200,50,large,Pzme,No,67.1,Precipitation
RF,Spring,0,2,5,small,Krm,Yes,72.5,Precipitation
RF,Spring,5,15,50,small,Kec,Yes,72.3,Spontaneous
RF,Spring,5,10,50,small,Kgp,Yes,80.6,Precipitation
RF,Spring,5,5,50,small,Kec,Yes,77.6,Precipitation
RF,Summer,5,20,50,small,Ks,Yes,79.5,Spontaneous
RF,Summer,5,0,50,small,Khd,Yes,83.5,Spontaneous
RF,Summer,5,25,50,small,Kgp,Yes,65.2,Spontaneous
RF,Summer,5,3,50,small,Kbv,Yes,70.3,Precipitation
RF,Summer,30,45,60,small,Kbv,Yes,78.1,Precipitation
RF,Summer,5,10,50,small,Kec,Yes,77.2,Spontaneous
RF,Summer,5,30,50,small,Ks,Yes,75.9,Spontaneous
RF,Summer,20,35,50,small,Khd,Yes,79.7,Spontaneous
RF,Summer,150,200,250,small,Kbv,Yes,60.7,Precipitation
RF,Summer,5,4,50,small,Kec,Yes,80.6,Spontaneous
RS,Summer,5,2,50,small,Ks,No,62.3,Precipitation
DS,Summer,5,3,50,small,Qat,No,73.6,Precipitation
RF,Summer,5,0,50,small,Ks,Yes,76.1,Spontaneous
RF,Summer,5,2,50,small,Kec,Yes,73.2,Spontaneous
RF,Fall,5,1,50,small,Ks,Yes,57.6,Spontaneous
RF,Fall,0,2,5,small,Khd,Yes,71.4,Spontaneous
RF,Fall,5,3,50,small,Ks,Yes,72.6,Spontaneous
RF,Fall,5,4,50,small,Kec,Yes,71.4,Spontaneous
DS,Fall,5,5,50,small,Kga,No,53.1,Precipitation
RF,Fall,5,25,50,small,Ka,Yes,84.7,Freeze-Thaw
RF,Fall,5,10,50,small,Khd,Yes,70.5,Spontaneous
RF,Fall,10,10,15,small,Kec,Yes,79.5,Spontaneous
RF,Fall,5,1,50,small,Khd,Yes,63.4,Spontaneous
RF,Fall,5,10,50,small,Ktf,Yes,64.4,Spontaneous
RF,Fall,5,15,20,small,Kga,Yes,50.6,Spontaneous
DS,Fall,5,20,50,small,Qat,No,78.9,Spontaneous
RF,Winter,5,20,50,small,Khd,Yes,68.4,Spontaneous
